id;time;Euler1;Euler2;Euler3;SysCal;GyroCal;AccCal;MagCal;Max;;;
304;23.29.44;148,62;-0,38;-3,25;3;3;3;3;;;;
305;23.30.44;148,62;-0,38;-3,25;3;3;3;3;;;;
306;23.31.44;148,62;-0,38;-3,25;3;3;3;3;;;;
307;23.32.44;148,62;-0,38;-3,25;3;3;3;3;;;;
308;23.33.44;148,62;-0,38;-3,25;3;3;3;3;;;;
309;23.34.44;148,62;-0,38;-3,25;3;3;3;3;;;;
310;23.35.44;148,62;-0,38;-3,25;3;3;3;3;;;;
311;23.36.44;148,62;-0,38;-3,25;3;3;3;3;;;;
312;23.37.44;148,62;-0,38;-3,25;3;3;3;3;;;;
313;23.38.44;148,62;-0,38;-3,25;3;3;3;3;;;;
314;23.39.44;148,62;-0,38;-3,25;3;3;3;3;;;;
315;23.40.44;148,62;-0,38;-3,25;3;3;3;3;;;;
316;23.41.44;148,62;-0,38;-3,25;3;3;3;3;;;;
317;23.42.44;148,62;-0,38;-3,25;3;3;3;3;;;;
318;23.43.44;148,62;-0,38;-3,25;3;3;3;3;;;;
319;23.44.44;148,62;-0,38;-3,25;3;3;3;3;;;;
320;23.45.44;148,62;-0,38;-3,25;3;3;3;3;;;;
321;23.46.44;148,62;-0,38;-3,25;3;3;3;3;;;;
322;23.47.44;148,62;-0,38;-3,25;3;3;3;3;;;;
323;23.48.44;148,62;-0,38;-3,25;3;3;3;3;;;;
324;23.49.44;148,62;-0,38;-3,25;3;3;3;3;;;;
325;23.50.44;148,62;-0,38;-3,25;3;3;3;3;;;;
326;23.51.44;148,62;-0,38;-3,25;3;3;3;3;;;;
327;23.52.44;148,62;-0,38;-3,25;3;3;3;3;;;;
328;23.53.44;148,62;-0,38;-3,25;3;3;3;3;;;;
329;23.54.44;148,62;-0,38;-3,25;3;3;3;3;;;;
330;23.55.44;148,31;-0,38;-3,25;3;3;3;3;;;;
331;23.56.44;148,31;-0,38;-3,25;3;3;3;3;;;;
332;23.57.44;148,31;-0,38;-3,25;3;3;3;3;;;;
333;23.58.44;148,31;-0,38;-3,25;3;3;3;3;;;;
334;23.59.44;148,31;-0,38;-3,25;3;3;3;3;;;;
335;00.00.44;148,31;-0,38;-3,25;3;3;3;3;;;;
336;00.01.44;148,31;-0,38;-3,25;3;3;3;3;;;;
337;00.02.44;148,31;-0,38;-3,25;3;3;3;3;;;;
338;00.03.44;148,31;-0,38;-3,25;3;3;3;3;;;;
339;00.04.44;148,31;-0,38;-3,25;3;3;3;3;;;;
340;00.05.44;148,31;-0,38;-3,25;3;3;3;3;;;;
341;00.06.44;148,31;-0,38;-3,25;3;3;3;3;;;;
342;00.07.44;148,31;-0,38;-3,25;3;3;3;3;;;;
343;00.08.44;148,31;-0,38;-3,25;3;3;3;3;;;;
344;00.09.44;148,31;-0,38;-3,25;3;3;3;3;;;;
345;00.10.44;148,31;-0,38;-3,25;3;3;3;3;;;;
346;00.11.44;148,31;-0,38;-3,25;3;3;3;3;;;;
347;00.12.44;148,31;-0,38;-3,25;3;3;3;3;;;;
348;00.13.44;148,31;-0,38;-3,25;3;3;3;3;;;;
349;00.14.44;148,31;-0,38;-3,25;3;3;3;3;;;;
350;00.15.44;148,31;-0,38;-3,25;3;3;3;3;;;;
351;00.16.44;148,31;-0,38;-3,25;3;3;3;3;;;;
352;00.17.44;148,31;-0,38;-3,25;3;3;3;3;;;;
353;00.18.44;148,31;-0,38;-3,25;3;3;3;3;;;;
354;00.19.44;148,31;-0,38;-3,25;3;3;3;3;;;;
355;00.20.44;148,31;-0,38;-3,25;3;3;3;3;;;;
356;00.21.44;148,31;-0,38;-3,25;3;3;3;3;;;;
357;00.22.44;148,31;-0,38;-3,25;3;3;3;3;;;;
358;00.23.44;148,31;-0,38;-3,25;3;3;3;3;;;;
359;00.24.44;148,31;-0,38;-3,25;3;3;3;3;;;;
360;00.25.44;148,31;-0,38;-3,25;3;3;3;3;;;;
361;00.26.44;148,31;-0,38;-3,25;3;3;3;3;;;;
362;00.27.44;148,31;-0,38;-3,25;3;3;3;3;;;;
363;00.28.44;148,31;-0,38;-3,25;3;3;3;3;;;;
364;00.29.44;148,31;-0,38;-3,25;3;3;3;3;;;;
365;00.30.44;148,31;-0,38;-3,25;3;3;3;3;;;;
366;00.31.44;148,31;-0,38;-3,25;3;3;3;3;;;;
367;00.32.44;148,31;-0,38;-3,25;3;3;3;3;;;;
368;00.33.44;148,31;-0,38;-3,25;3;3;3;3;;;;
369;00.34.44;148,31;-0,38;-3,25;3;3;3;3;;;;
370;00.35.44;148,31;-0,38;-3,25;3;3;3;3;;;;
371;00.36.44;148,31;-0,38;-3,25;3;3;3;3;;;;
372;00.37.44;148,31;-0,38;-3,25;3;3;3;3;;;;
373;00.38.44;148,31;-0,38;-3,25;3;3;3;3;;;;
374;00.39.44;148,31;-0,38;-3,25;3;3;3;3;;;;
375;00.40.44;148,31;-0,38;-3,25;3;3;3;3;;;;
376;00.41.44;148,31;-0,38;-3,25;3;3;3;3;;;;
377;00.42.44;148,31;-0,38;-3,25;3;3;3;3;;;;
378;00.43.44;148,31;-0,38;-3,25;3;3;3;3;;;;
379;00.44.44;148,31;-0,38;-3,25;3;3;3;3;;;;
380;00.45.44;148,31;-0,38;-3,25;3;3;3;3;;;;
381;00.46.44;148,31;-0,38;-3,25;3;3;3;3;;;;
382;00.47.44;148,31;-0,38;-3,25;3;3;3;3;;;;
383;00.48.44;148,31;-0,38;-3,25;3;3;3;3;;;;
384;00.49.44;148,31;-0,38;-3,25;3;3;3;3;;;;
385;00.50.44;147,94;-0,38;-3,25;3;3;3;3;;;;
386;00.51.44;147,94;-0,38;-3,25;3;3;3;3;;;;
387;00.52.44;147,94;-0,38;-3,25;3;3;3;3;;;;
388;00.53.44;147,94;-0,38;-3,25;3;3;3;3;;;;
389;00.54.44;147,94;-0,38;-3,25;3;3;3;3;;;;
390;00.55.44;147,94;-0,38;-3,25;3;3;3;3;;;;
391;00.56.44;147,94;-0,38;-3,25;3;3;3;3;;;;
392;00.57.44;147,94;-0,38;-3,25;3;3;3;3;;;;
393;00.58.44;147,94;-0,38;-3,25;3;3;3;3;;;;
394;00.59.44;147,94;-0,38;-3,25;3;3;3;3;;;;
395;01.00.44;147,94;-0,38;-3,25;3;3;3;3;;;;
396;01.01.44;147,94;-0,38;-3,25;3;3;3;3;;;;
397;01.02.44;147,94;-0,38;-3,25;3;3;3;3;;;;
398;01.03.44;147,94;-0,38;-3,25;3;3;3;3;;;;
399;01.04.44;147,94;-0,38;-3,25;3;3;3;3;;;;
400;01.05.44;147,94;-0,38;-3,25;3;3;3;3;;;;
401;01.06.44;147,94;-0,38;-3,25;3;3;3;3;;;;
402;01.07.44;147,94;-0,38;-3,25;3;3;3;3;;;;
403;01.08.44;147,94;-0,38;-3,25;3;3;3;3;;;;
404;01.09.44;147,94;-0,38;-3,25;3;3;3;3;;;;
405;01.10.44;147,94;-0,38;-3,25;3;3;3;3;;;;
406;01.11.44;147,94;-0,38;-3,25;3;3;3;3;;;;
407;01.12.45;147,94;-0,38;-3,25;3;3;3;3;;;;
